blockCode,blockID,blockName,groupNumberInBlock,groupID,groupOrder,year,numberOfSamples,distFrO,Distance from the year on the 187x-side of change vector,YEAR on the 187x-side of change vector,eraNumber,referenceShoreline?,avgEasting,avgNorthing,chgRates,intervalStart,intervalEnd,chgVector,chgRate
2.08,NaN_HMB,Half-Moon,1,48,only,650,2,-2194,-312.86,1700,2,0,225011.55,179373.85,,,,,
2.08,NaN_HMB,Half-Moon,1,48,only,1700,10,-1881,-1881.107,1886,3,0,224760.57,179577.55,0.3,,,,
2.08,NaN_HMB,Half-Moon,1,48,only,1860,12,-1154,-1153.661667,1886,4,0,224764.5583,180458.725,4.5,1700,1886,1881,10.1
2.08,NaN_HMB,Half-Moon,1,48,only,1886,17,0,NaN,NaN,5,1,224144.5824,181315.9059,44.4,1886,1926,292,7.3
2.08,NaN_HMB,Half-Moon,1,48,only,1898,15,-51,-51.134,1886,6,0,224139.82,181294.9333,-4.3,1926,1951,-215,-8.6
2.08,NaN_HMB,Half-Moon,1,48,only,1909,12,50,101.17,1898,7,0,224200.8833,181434.9333,9.2,1951,1999,-20,-0.4
2.08,NaN_HMB,Half-Moon,1,48,only,1926,17,292,291.8976471,1886,8,0,224152.6588,181585.1,14.2,1886,1999,58,0.5
2.08,NaN_HMB,Half-Moon,1,48,only,1951,22,77,-214.6827273,1926,9,0,224275.1045,181420.2455,-8.6,,,,
2.08,NaN_HMB,Half-Moon,1,48,only,1967,17,6,-71.57647059,1951.5,10,0,224076.1824,181167.5529,-4.4,,,,
2.08,NaN_HMB,Half-Moon,1,48,only,1974,23,2,-3.429130435,1967.33,11,0,224027.8783,181114.4609,-0.5,,,,
2.08,NaN_HMB,Half-Moon,1,48,only,1987,19,5,2.564210526,1974.45,12,0,224024.4842,181132.3211,0.2,,,,
2.08,NaN_HMB,Half-Moon,1,48,only,1995,17,30,25.65117647,1987.5,13,0,224080.3235,181162.2765,3.1,,,,
2.08,NaN_HMB,Half-Moon,1,48,only,1999,17,58,27.13529412,1995.67,14,0,224081.4118,181177.1471,7.1,,,,
2.08,NaN_HMB,Half-Moon,1,48,only,2006,15,48,-9.096,1999.4,15,0,223920.76,180998.6467,-1.3,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,650,1,-2232,-424.77,1700,2,0,224977.2,179237.1,,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,1700,3,-1808,-1807.583333,1886,3,0,224610.4333,179466.2667,0.4,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,1860,7,-1116,-1115.921429,1886,4,0,224547.3429,179930.4429,4.3,1700,1886,1808,9.7
2.07,GLdN,Westport Jetty,2,49,north 1,1886,10,0,NaN,NaN,5,1,223573.27,180509.04,42.9,1886,1926,292,7.3
2.07,GLdN,Westport Jetty,2,49,north 1,1898,9,-124,-123.9366667,1886,6,0,223694.7556,180391.1444,-10.3,1926,1951,167,6.7
2.07,GLdN,Westport Jetty,2,49,north 1,1909,9,676,799.4633333,1898,7,0,222926.6444,180596.3111,72.7,1951,1999,-255,-5.3
2.07,GLdN,Westport Jetty,2,49,north 1,1926,10,292,292.122,1886,8,0,223288.12,180519.05,-22.6,1886,1999,204,1.8
2.07,GLdN,Westport Jetty,2,49,north 1,1951,12,459,167.015,1926,9,0,223126.1833,180605.8583,6.7,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,1967,12,370,-89.2125,1951.5,10,0,223179.175,180595.2167,-5.5,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,1974,12,336,-33.81416667,1967.33,11,0,223216.5167,180603.9083,-4.7,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,1987,11,311,-25.59363636,1974.45,12,0,223248.9182,180583.9727,-2,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,1995,11,188,-122.5,1987.5,13,0,223378.0636,180566.5364,-14.8,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,1999,12,204,16.03333333,1995.67,14,0,223361.95,180565.9083,4.2,,,,
2.07,GLdN,Westport Jetty,2,49,north 1,2006,10,215,10.864,1999.4,15,0,223361.9,180508.01,1.6,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,650,2,-1552,-470.015,1700,2,0,224956.4,179142.35,,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,1700,7,-1082,-1082.44,1886,3,0,224516.3,179305.3,0.4,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,1860,8,-746,-746.035,1886,4,0,224420.825,179427.375,2.1,1700,1886,1082,5.8
2.07,GLdN,Westport Jetty,2,50,south 1,1886,8,0,NaN,NaN,5,1,223678.3625,179658.875,28.7,1886,1926,208,5.2
2.07,GLdN,Westport Jetty,2,50,south 1,1898,7,-36,-35.64714286,1886,6,0,223722.9143,179623.3714,-3,1926,1951,-13,-0.5
2.07,GLdN,Westport Jetty,2,50,south 1,1909,8,409,445.0725,1898,7,0,223280.7875,179611.525,40.5,1951,1999,-33,-0.7
2.07,GLdN,Westport Jetty,2,50,south 1,1926,8,208,207.6,1886,8,0,223477.525,179606.25,-11.9,1886,1999,162,1.4
2.07,GLdN,Westport Jetty,2,50,south 1,1951,9,194,-13.25888889,1926,9,0,223493.0111,179609.4556,-0.5,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,1967,8,221,26.72875,1951.5,10,0,223458.3375,179637.525,1.6,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,1974,9,214,-6.71,1967.33,11,0,223460.0222,179660.3667,-0.9,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,1987,8,218,4.05,1974.45,12,0,223457.9125,179652.2625,0.3,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,1995,8,132,-86.82375,1987.5,13,0,223552.3875,179633.325,-10.5,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,1999,8,162,30.23,1995.67,14,0,223526.6125,179604.4125,7.9,,,,
2.07,GLdN,Westport Jetty,2,50,south 1,2006,8,148,-13.73875,1999.4,15,0,223540.1625,179606.7375,-2,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,650,7,-962,-396.5585714,1700,2,0,224872.4857,178807.8429,,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1700,8,-565,-565.28875,1886,3,0,224474.075,178934.3,0.4,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1860,9,-414,-413.9544444,1886,4,0,224320.8889,178912.4667,0.9,1700,1886,565,3
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1886,8,0,NaN,NaN,5,1,223903.8375,178896.1,15.9,1886,1926,239,6
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1898,9,2,1.825555556,1886,6,0,223916.5667,178847.1333,0.2,1926,1951,-97,-3.9
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1909,9,320,318.6511111,1898,7,0,223593.6556,178823.6556,29,1951,1999,83,1.7
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1926,8,239,239.3075,1886,8,0,223672.575,178834.6,-4.8,1886,1999,225,2
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1951,8,142,-97.33625,1926,9,0,223773.1875,178832.1875,-3.9,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1967,8,239,97.03,1951.5,10,0,223661.7625,178860.025,5.9,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1974,8,227,-12.3325,1967.33,11,0,223672.9875,178865.5125,-1.7,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1987,9,235,8.553333333,1974.45,12,0,223672.2111,178837.1444,0.7,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1995,8,212,-23.27875,1987.5,13,0,223695.0125,178842.1375,-2.8,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1999,8,225,12.93875,1995.67,14,0,223685.4125,178822.7,3.4,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,2006,8,206,-18.9975,1999.4,15,0,223703.1875,178828.2,-2.7,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,-850,6,-1052,-416.4316667,650,1,0,225213.5167,177864.3167,,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,650,9,-635,-261.2444444,1700,2,0,224793.1222,178029.4111,0.3,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1700,9,-374,-374.1877778,1886,3,0,224522.4778,178103.4444,0.2,,,,
