BLOCK_ID,BLOCK_NAME,Group number,YEAR,number of samples,Distance from 187x shoreline,Distance from the year on the 187x-side of change vector,YEAR on the 187x-side of change vector,Era number,reference shoreline?,Average Easting,Average Northing,Change Rates (m/yr),IntervalStart,IntervalEnd,Change Vector,ChgRate (m/yr)
NaN_TLB,Grassy Island (tip of LB),77,1700,4,-4413,-4413.045,1871,3,0,228516.9,147651.875,,,,,
NaN_TLB,Grassy Island (tip of LB),77,1871,10,0,NaN,NaN,5,1,228228.21,152044.25,25.8,1700,1871,4413,25.8
NaN_TLB,Grassy Island (tip of LB),77,1891,11,312,312.0745455,1871,6,0,228181.5818,152343.2727,15.6,1871,1926,-22,-0.4
NaN_TLB,Grassy Island (tip of LB),77,1911,9,-23,-23.14888889,1871,7,0,228239.7667,152040.2667,-16.8,1926,1950,-331,-13.8
NaN_TLB,Grassy Island (tip of LB),77,1926,10,-22,-21.91,1871,8,0,228202.34,152019.2,0.1,1950,1999,1251,25.3
NaN_TLB,Grassy Island (tip of LB),77,1950,9,-353,-331.1777778,1926,9,0,228225.4333,151692.9,-13.8,1871,1999,898,7
NaN_TLB,Grassy Island (tip of LB),77,1963.7,9,-1049,-696.0466667,1950.5,10,0,228248.4333,150986.1444,-50.9,,,,
NaN_TLB,Grassy Island (tip of LB),77,1974.5,5,117,1165.766,1963.67,11,0,228054.06,152099.22,107.6,,,,
NaN_TLB,Grassy Island (tip of LB),77,1986.4,4,735,618.3475,1974.45,12,0,227990.6,152741.95,51.9,,,,
NaN_TLB,Grassy Island (tip of LB),77,1995.8,3,520,-214.5466667,1986.42,13,0,227937.8333,152579.4667,-23,,,,
NaN_TLB,Grassy Island (tip of LB),77,1999.5,3,898,377.8133333,1995.75,14,0,228017,153296.9667,100.8,,,,
NaN_TLB,Grassy Island (tip of LB),77,2006.5,4,658,-240.4775,1999.4,15,0,227816.275,153109.325,-34.5,,,,
LBdN,West side Willapa National Wildlife Refuge (LBdN),79.33333333,250,3,-4671,-1025.786667,1700,2,0,228915.1333,146775.8,,,,,
LBdN,West side Willapa National Wildlife Refuge (LBdN),78.75,1700,4,-3645,-3644.885,1871,3,0,228302.25,147637.825,0.7,,,,
LBdN,West side Willapa National Wildlife Refuge (LBdN),79.08695652,1871,23,0,NaN,NaN,5,1,227190.8696,150923.5217,21.3,1700,1871,3645,21.3
LBdN,West side Willapa National Wildlife Refuge (LBdN),79.125,1911,24,274,274.4741667,1871,7,0,226978.9958,151083.4583,6.9,1871,1926,121,2.2
LBdN,West side Willapa National Wildlife Refuge (LBdN),79.08695652,1926,23,121,120.7786957,1871,8,0,227089.4696,150984.6652,-10.2,1926,1950,-152,-6.3
LBdN,West side Willapa National Wildlife Refuge (LBdN),79.04761905,1950,21,-31,-151.8809524,1926,9,0,227210.0333,150929.3619,-6.3,1950,1999,693,14
LBdN,West side Willapa National Wildlife Refuge (LBdN),79.29411765,1963.7,17,-352,-321.1294118,1950.5,10,0,227289.9706,150510.1294,-23.5,1871,1999,662,5.2
LBdN,West side Willapa National Wildlife Refuge (LBdN),79.21052632,1974.5,19,225,577.3521053,1963.67,11,0,227037.0263,150992.9158,53.3,,,,
LBdN,West side Willapa National Wildlife Refuge (LBdN),79.06896552,1986.4,29,431,206.0596552,1974.45,12,0,226986.6069,151302.6276,17.3,,,,
LBdN,West side Willapa National Wildlife Refuge (LBdN),79,1995.8,34,574,143.2176471,1986.42,13,0,226943.9529,151506.7059,15.3,,,,
LBdN,West side Willapa National Wildlife Refuge (LBdN),78.8974359,1999.5,39,662,87.71461538,1995.75,14,0,226956.6744,151709.2692,23.4,,,,
LBdN,West side Willapa National Wildlife Refuge (LBdN),79,2006.5,37,850,187.8337838,1999.4,15,0,226737.6054,151669.1081,26.9,,,,
LBc7,North End of Leadbetter State Park (LBc7),83.77419355,250,31,-2212,-1004.307742,1700,2,0,228727.3484,145655.9935,,,,,
LBc7,North End of Leadbetter State Park (LBc7),83.43589744,1700,39,-1208,-1207.951795,1871,3,0,227835.7667,146182.7641,0.7,,,,
LBc7,North End of Leadbetter State Park (LBc7),82.82142857,1871,56,0,NaN,NaN,5,1,226676.4286,147089.9179,7.1,1700,1871,1208,7.1
LBc7,North End of Leadbetter State Park (LBc7),82.82142857,1926,56,-78,-77.62821429,1871,8,0,226753.9482,147090.7179,-1.4,1871,1926,-78,-1.4
LBc7,North End of Leadbetter State Park (LBc7),82.83928571,1950,56,-243,-164.9046429,1926,9,0,226920.3607,147038.4411,-6.9,1926,1950,-165,-6.9
LBc7,North End of Leadbetter State Park (LBc7),82.78571429,1963.7,56,-82,160.6873214,1950.5,10,0,226757.5714,147104.1911,11.8,1950,1999,171,3.4
LBc7,North End of Leadbetter State Park (LBc7),82.78571429,1974.5,56,-145,-62.81607143,1963.67,11,0,226820.4911,147106.375,-5.8,1871,1999,-72,-0.6
LBc7,North End of Leadbetter State Park (LBc7),82.80357143,1986.4,56,-167,-22.23607143,1974.464464,12,0,226843.7268,147066.2625,-1.9,,,,
LBc7,North End of Leadbetter State Park (LBc7),82.83928571,1995.8,56,-123,44.17821429,1986.42,13,0,226800.7429,147023.9339,4.7,,,,
LBc7,North End of Leadbetter State Park (LBc7),82.8,1999.5,55,-72,50.78909091,1995.75,14,0,226748.8291,147058.2,13.5,,,,
LBc7,North End of Leadbetter State Park (LBc7),82.81818182,2006.5,55,-19,52.83727273,1999.4,15,0,226696.0164,147057.2909,7.6,,,,
LBc6,Oysterville (LBc6),90,-2550,5,-2214,-812.85,250,1,0,229119.26,140286.3,,,,,
LBc6,Oysterville (LBc6),87.92857143,250,42,-1401,-784.1207143,1700,2,0,228413.9833,142125.5381,0.3,,,,
LBc6,Oysterville (LBc6),87.92857143,1700,42,-617,-616.917619,1871.404762,3,0,227630.7714,142167.7143,0.5,,,,
LBc6,Oysterville (LBc6),87.93023256,1871.4,43,0,NaN,NaN,5,1,227013.314,142152.7023,3.6,1700,1871,617,3.6
LBc6,Oysterville (LBc6),87.93023256,1926,43,41,40.58395349,1871.418605,8,0,226972.7419,142151.9628,0.7,1871,1926,41,0.7
LBc6,Oysterville (LBc6),87.92857143,1950,42,-54,-94.8647619,1926,9,0,227069.119,142140.7262,-4,1926,1950,-95,-4
LBc6,Oysterville (LBc6),87.90697674,1963.7,43,52,106.6851163,1950.5,10,0,226961.9419,142159.7674,7.8,1950,1999,151,3.1
