BLOCK_ID,BLOCK_NAME,Group number,YEAR,number of samples,Distance from 187x shoreline,Distance from the year on the 187x-side of change vector,YEAR on the 187x-side of change vector,Era number,reference shoreline?,Average Easting,Average Northing,Change Rates (m/yr),IntervalStart,IntervalEnd,Change Vector,ChgRate (m/yr)
NBc8,Grenville  (NBc8),2.230769231,1700,26,-18,-17.83961538,1887,3,0,215832.2115,225713.8385,,,,,
NBc8,Grenville  (NBc8),2.24,1887,25,0,NaN,NaN,5,1,215856.22,225684.572,0.1,1700,1887,18,0.1
NBc8,Grenville  (NBc8),2.24,1927,25,-10,-10.4016,1887,8,0,215853.096,225694.272,-0.3,1887,1927,-10,-0.3
NBc8,Grenville  (NBc8),2.25,1967.3,16,1,11.273125,1927,10,0,215887.3688,225694.4563,0.3,1927,1967,11,0.3
NBc8,Grenville  (NBc8),2.2,1974.5,25,49,47.6572,1967.33,11,0,215817.12,225659.992,6.6,1967,1999,65,2
NBc8,Grenville  (NBc8),2.166666667,1987.4,24,57,8.80125,1974.45,12,0,215779.3375,225662.2542,0.7,1887,1999,66,0.6
NBc8,Grenville  (NBc8),2.2,1995.7,25,50,-7.6828,1987.5,13,0,215759.332,225680.1,-0.9,,,,
NBc8,Grenville  (NBc8),2.2,1999.5,25,66,16.2256,1995.67,14,0,215781.484,225661.696,4.2,,,,
NBc8,Grenville  (NBc8),2.208333333,2006.5,24,64,-1.484583333,1999.4,15,0,215792.9667,225653.0958,-0.2,,,,
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),6.02,1700,50,-45,-45.4264,1887,3,0,217802.03,222514.464,,,,,
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),5.936170213,1887,47,0,NaN,NaN,5,1,217737.2787,222599.7936,0.2,1700,1887,45,0.2
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),5.936170213,1927,47,2,1.575957447,1887,8,0,217736.2745,222597.934,0,1887,1927,2,0
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),5.705882353,1967.3,34,-24,-25.57970588,1927,10,0,217706.8676,222827.8147,-0.6,1927,1967,-26,-0.6
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),6.019607843,1974.5,51,34,58.45058824,1967.33,11,0,217721.0824,222506.6373,8.1,1967,1999,162,5
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),6,1987.4,51,84,49.64686275,1974.45,12,0,217669.3373,222524.5922,3.8,1887,1999,138,1.2
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),5.9,1995.7,50,100,16.1218,1987.5,13,0,217622.224,222625.432,2,,,,
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),5.980392157,1999.5,51,138,37.80509804,1995.67,14,0,217606.4157,222539.5471,9.9,,,,
NBc7,Copalis Nat'l Wildlife Refuge (NBc7),6.909090909,2006.5,11,148,10.09454545,1999.4,15,0,217779.8273,221636.7,1.4,,,,
NBc6,Moclips (NBc6),11.875,1700,32,-34,-33.81875,1887,3,0,219131.4406,216646.0656,,,,,
