BLOCK_ID,BLOCK_NAME,Group number,YEAR,number of samples,Distance from 187x shoreline,Distance from the year on the 187x-side of change vector,YEAR on the 187x-side of change vector,Era number,reference shoreline?,Average Easting,Average Northing,Change Rates (m/yr),IntervalStart,IntervalEnd,Change Vector,ChgRate (m/yr)
NaN_HMB,Half Moon Bay,48,650,2,-2194,-312.86,1700,2,0,225011.55,179373.85,,,,,
NaN_HMB,Half Moon Bay,48,1700,10,-1881,-1881.107,1886,3,0,224760.57,179577.55,0.3,,,,
NaN_HMB,Half Moon Bay,48,1860,12,-1154,-1153.661667,1886,4,0,224764.5583,180458.725,4.5,1700,1886,1881,10.1
NaN_HMB,Half Moon Bay,48,1886,17,0,NaN,NaN,5,1,224144.5824,181315.9059,44.4,1886,1926,292,7.3
NaN_HMB,Half Moon Bay,48,1898,15,-51,-51.134,1886,6,0,224139.82,181294.9333,-4.3,1926,1951,-215,-8.6
NaN_HMB,Half Moon Bay,48,1909,12,50,101.17,1898,7,0,224200.8833,181434.9333,9.2,1951,1999,-20,-0.4
NaN_HMB,Half Moon Bay,48,1926,17,292,291.8976471,1886,8,0,224152.6588,181585.1,14.2,1886,1999,58,0.5
NaN_HMB,Half Moon Bay,48,1951,22,77,-214.6827273,1926,9,0,224275.1045,181420.2455,-8.6,,,,
NaN_HMB,Half Moon Bay,48,1967.3,17,6,-71.57647059,1951.5,10,0,224076.1824,181167.5529,-4.4,,,,
NaN_HMB,Half Moon Bay,48,1974.5,23,2,-3.429130435,1967.33,11,0,224027.8783,181114.4609,-0.5,,,,
NaN_HMB,Half Moon Bay,48,1987.4,19,5,2.564210526,1974.45,12,0,224024.4842,181132.3211,0.2,,,,
NaN_HMB,Half Moon Bay,48,1995.7,17,30,25.65117647,1987.5,13,0,224080.3235,181162.2765,3.1,,,,
NaN_HMB,Half Moon Bay,48,1999.5,17,58,27.13529412,1995.67,14,0,224081.4118,181177.1471,7.1,,,,
NaN_HMB,Half Moon Bay,48,2006.5,15,48,-9.096,1999.4,15,0,223920.76,180998.6467,-1.3,,,,
GLdn,Westport Jetty (GLdn),49.67,650,3,-1755,-454.9333333,1700,2,0,224963.3333,179173.9333,,,,,
GLdn,Westport Jetty (GLdn),49.7,1700,10,-1300,-1299.983,1886,3,0,224544.54,179353.59,0.4,,,,
GLdn,Westport Jetty (GLdn),49.53,1860,15,-919,-918.6486667,1886,4,0,224479.8667,179662.14,2.4,1700,1886,1300,7
GLdn,Westport Jetty (GLdn),49.44,1886,18,0,NaN,NaN,5,1,223619.9778,180131.1889,35.3,1886,1926,255,6.4
GLdn,Westport Jetty (GLdn),49.44,1898,16,-85,-85.31,1886,6,0,223707.075,180055.2438,-7.1,1926,1951,90,3.6
GLdn,Westport Jetty (GLdn),49.47,1909,17,547,632.6911765,1898,7,0,223093.3,180132.8824,57.5,1951,1999,-164,-3.4
